sha256,mtime_unix,path
8ca437c85e85d196958cd22f11af2f3c76eed74199ac185ec3b0729df7cf3812,1765354947,docs/evidence/SAR_TEST_SUITE.md
058ac5c588f887d50b628a1f81310eaad1b06054e9f04a2b45498ccac752988a,1765299940,docs/evidence/ZOHO_FAILURE_SENT.jpeg
d81809df59e640877a845932bd6a90b0ec15eca9b1bf6347ff8341e6fb8dfbc2,1765299923,docs/evidence/ZOHO_KEYWORD_FAILURE.png
1473550542460aad605f3a427f1c2abc1bbbc6e84700f6994ab2c2abea16e6c0,1765245253,docs/evidence/dye-die-filter-failure.json
68c1348ef86bf5c9606fe8471768ffc77bf326538cf8168e73e473a6f78a6990,1765356144,docs/evidence/dye-die-filter-failure.md
791dbb33f1a13fc31dfed35d958cfd77b42651ccaaaadd7dd8f8fe5aa7c4a611,1765354947,docs/posts/SEMANTIC_AMBIGUITY_BENCHMARK_LINKEDIN.md
2dd1b7b46e7674c40b9535aad7aa8096956169f22d082d37faf5b85f304fc923,1765354321,docs/posts/SEMANTIC_AMBIGUITY_BENCHMARK_SUBSTACK.md
24f31e4402dc4eadf7acefc18026f937e6cf03fd829de80b1539a27bb97f9f2f,1765271364,docs/posts/linkedin_false_positive_collapse.md
7c99354c7f1820c7a599f81914dba6ed13d8e8d3e702dae5bd143221d6ff328b,1764960356,docs/posts/substack_false_positive_collapse.md
6b8d5c38f99b63bf9020d3b7e4221f2b4de85cfb23d86ac7a5d2b0eb914d82ac,1765298959,docs/posts/substack_zoho_keyword_fallacy.md
55e4f0cdb24adaf2b56ebe465888f195aff4e05acb2af327cd7137ec8a6da504,1765299402,docs/posts/substack_zoho_keyword_fallacy.pdf
042df0b1ec6ab54dd3593a224a67d82a7a90a456f285b8fe63f928ceb84de573,1764960356,docs/posts/wordpress_canonical_false_positive_collapse.md
086d68a131befd869bfc52348f0ba6a14d03f4404cc3ed90ce44e4ec304c9ec3,1764960356,docs/posts/x_twitter_thread_false_positive_collapse.md
